1030,Airbus,Manufacturing,Enterprise,Luxembourg,EMEA,EU-WEST,2020-01-11,29798.59,5593.36,11.13,18.77,58,12,2020-01-11,01,2020-01,252,Strategic (VIP),Gold,12
1031,Royal Dutch Shell,Energy,SMB,Germany,EMEA,EU-WEST,2020-01-07,24689.12,2828.74,13.28,11.46,57,14,2020-01-07,01,2020-01,256,New,Gold,14
1032,Itochu,Finance,Strategic,Sweden,EMEA,NOR,2020-02-09,29886.88,1690.47,16.40,5.66,69,13,2020-02-09,02,2020-02,223,Strategic (VIP),Gold,13
1033,HonHai Precision Industry,Tech,Enterprise,Canada,AMER,NAMER,2020-03-30,18457.41,-136.69,12.95,-0.74,40,13,2020-03-30,03,2020-03,173,New,Gold,13
1034,Exxon Mobil,Energy,Enterprise,Israel,EMEA,EU-EAST,2020-01-07,10582.80,227.11,19.08,2.15,36,12,2020-01-07,01,2020-01,256,Strategic (VIP),Silver,12
1035,Fannie Mae,Finance,SMB,Spain,EMEA,EU-WEST,2020-04-11,25957.25,4079.58,16.47,15.72,54,12,2020-04-11,04,2020-04,161,New,Gold,12
1036,FedEx,Transportation,Enterprise,Japan,APJ,JAPN,2020-04-28,24384.88,1104.57,15.55,4.53,57,14,2020-04-28,04,2020-04,144,Strategic (VIP),Gold,14
1038,Cigna,Healthcare,SMB,United States,AMER,NAMER,2020-04-02,12130.72,2117.90,8.68,17.46,42,10,2020-04-02,04,2020-04,170,New,Silver,10
1039,BMW,Manufacturing,Enterprise,Argentina,AMER,LATAM,2020-01-27,39083.79,5948.09,15.13,15.22,56,14,2020-01-27,01,2020-01,236,Strategic (VIP),Platinum,14
1040,General Electric,Finance,SMB,France,EMEA,EU-WEST,2020-02-12,8637.71,687.15,21.05,7.96,22,14,2020-02-12,02,2020-02,220,New,Silver,14
1041,General Motors,Manufacturing,Strategic,France,EMEA,EU-WEST,2020-03-26,12766.84,733.89,12.90,5.75,29,12,2020-03-26,03,2020-03,177,Strategic (VIP),Silver,12
1042,Goldman Sachs Group,Finance,SMB,United Kingdom,EMEA,UKIR,2020-01-17,10831.82,2516.46,16.49,23.23,57,13,2020-01-17,01,2020-01,246,New,Silver,13
1043,Siemens,Manufacturing,SMB,United States,AMER,NAMER,2020-01-04,36008.36,6519.51,18.14,18.11,86,13,2020-01-04,01,2020-01,259,High Value (Core),Platinum,13
1044,Lukoil,Energy,SMB,Finland,EMEA,NOR,2020-02-01,35199.18,7117.09,15.38,20.22,53,13,2020-02-01,02,2020-02,231,High Value (Core),Platinum,13
1045,Honda Motor,Manufacturing,SMB,Chile,AMER,LATAM,2020-01-29,21249.71,2752.00,19.40,12.95,42,12,2020-01-29,01,2020-01,234,New,Gold,12
1046,Volkswagen,Manufacturing,SMB,Canada,AMER,NAMER,2020-02-07,35200.42,4546.19,14.62,12.92,65,13,2020-02-07,02,2020-02,225,High Value (Core),Platinum,13
1047,Home Depot,Retail,SMB,Turkey,EMEA,MEA,2020-03-18,24123.87,5279.81,7.84,21.89,51,12,2020-03-18,03,2020-03,185,New,Gold,12
1048,Carrefour,Retail,Strategic,Costa Rica,AMER,LATAM,2020-02-03,16799.73,2168.07,15.20,12.91,58,14,2020-02-03,02,2020-02,229,Strategic (VIP),Silver,14
1049,Humana,Healthcare,Strategic,France,EMEA,EU-WEST,2020-05-05,24643.50,2581.92,16.85,10.48,37,12,2020-05-05,05,2020-05,137,Strategic (VIP),Gold,12
1050,Mitsubishi,Manufacturing,Strategic,Australia,APJ,ANZ,2020-01-06,16677.84,1668.93,14.65,10.01,48,12,2020-01-06,01,2020-01,257,Strategic (VIP),Silver,12
1051,Intel,Tech,SMB,France,EMEA,EU-WEST,2020-03-01,26970.75,1725.56,14.87,6.40,60,12,2020-03-01,03,2020-03,202,New,Gold,12
1052,Daimler,Transportation,SMB,Luxembourg,EMEA,EU-WEST,2020-04-05,19422.27,2607.67,17.12,13.43,54,13,2020-04-05,04,2020-04,167,New,Gold,13
1053,Alphabet,Tech,SMB,United States,AMER,NAMER,2020-05-25,16116.46,3980.34,16.13,24.70,24,11,2020-05-25,05,2020-05,117,New,Silver,11
1054,J.P. Morgan Chase & Co.,Finance,SMB,United States,AMER,NAMER,2020-05-18,15451.05,1752.52,16.05,11.34,54,12,2020-05-18,05,2020-05,124,New,Silver,12
1055,Johnson & Johnson,Healthcare,Enterprise,Chile,AMER,LATAM,2020-01-22,29489.57,4632.45,13.52,15.71,67,13,2020-01-22,01,2020-01,241,Strategic (VIP),Gold,13
1056,Phillips 66,Energy,Strategic,United States,AMER,NAMER,2020-03-01,27601.01,5259.89,10.34,19.06,45,14,2020-03-01,03,2020-03,202,Strategic (VIP),Gold,14
1057,Kroger,Retail,SMB,France,EMEA,EU-WEST,2020-01-28,29783.45,6256.10,14.44,21.01,76,12,2020-01-28,01,2020-01,235,High Value (Core),Gold,12
1058,Pemex,Energy,Strategic,Australia,APJ,ANZ,2020-01-20,12864.39,2194.25,15.28,17.06,40,13,2020-01-20,01,2020-01,243,Strategic (VIP),Silver,13
1059,Tesco,Retail,Strategic,United Kingdom,EMEA,UKIR,2020-08-05,8173.22,1689.71,7.29,20.67,24,11,2020-08-05,08,2020-08,45,Strategic (VIP),Silver,11
1060,Lowes,Retail,SMB,Australia,APJ,ANZ,2020-01-21,40360.16,7937.49,18.04,19.67,58,14,2020-01-21,01,2020-01,242,High Value (Core),Platinum,14
1061,Marathon Petroleum,Energy,SMB,United Kingdom,EMEA,UKIR,2020-03-24,17494.63,2813.05,19.81,16.08,37,13,2020-03-24,03,2020-03,179,New,Gold,13
1062,Engie,Energy,SMB,Sweden,EMEA,NOR,2020-01-19,19831.15,1159.37,16.73,5.85,54,11,2020-01-19,01,2020-01,244,New,Gold,11
1063,McKesson,Consumer Products,SMB,Turkey,EMEA,MEA,2020-05-05,14431.00,1750.28,16.98,12.13,39,13,2020-05-05,05,2020-05,137,New,Silver,13
1064,Merck,Healthcare,Strategic,Australia,APJ,ANZ,2020-06-15,17636.56,972.59,15.07,5.51,32,13,2020-06-15,06,2020-06,96,Strategic (VIP),Gold,13
1065,BNP Paribas,Finance,SMB,United States,AMER,NAMER,2020-04-08,37543.79,5550.80,17.65,14.78,81,14,2020-04-08,04,2020-04,164,High Value (Core),Platinum,14
1066,Microsoft,Tech,SMB,Canada,AMER,NAMER,2020-09-19,13444.07,2501.42,14.09,18.61,32,13,2020-09-19,09,2020-09,0,New,Silver,13
1067,Mondelez International,Consumer Products,SMB,United States,AMER,NAMER,2020-02-05,32993.04,8577.65,13.19,26.00,61,13,2020-02-05,02,2020-02,227,High Value (Core),Platinum,13
1068,Morgan Stanley,Finance,SMB,Brazil,AMER,LATAM,2020-01-15,28631.45,-361.80,17.46,-1.26,60,13,2020-01-15,01,2020-01,248,New,Gold,13
1070,HSBC Holdings,Finance,Strategic,Argentina,AMER,LATAM,2020-02-08,22703.84,-104.40,18.61,-0.46,41,12,2020-02-08,02,2020-02,224,New,Gold,12
1071,News Corp.,Misc,SMB,Japan,APJ,JAPN,2020-04-06,12942.61,2693.47,13.76,20.81,30,13,2020-04-06,04,2020-04,166,New,Silver,13
1072,Oracle,Tech,SMB,South Africa,EMEA,MEA,2020-06-01,21195.17,1488.92,15.27,7.02,60,13,2020-06-01,06,2020-06,110,New,Gold,13
1073,PepsiCo,Consumer Products,Strategic,Brazil,AMER,LATAM,2020-03-19,31638.39,4676.07,16.43,14.78,69,13,2020-03-19,03,2020-03,184,Strategic (VIP),Gold,13
1074,Pfizer,Healthcare,Enterprise,Japan,APJ,JAPN,2020-05-06,19231.62,1037.13,22.12,5.39,47,13,2020-05-06,05,2020-05,136,Strategic (VIP),Gold,13
1075,Philip Morris International,Consumer Products,Enterprise,Australia,APJ,ANZ,2020-03-14,21383.06,3223.17,16.69,15.07,58,13,2020-03-14,03,2020-03,189,Strategic (VIP),Gold,13
1076,Bosch,Tech,SMB,Spain,EMEA,EU-WEST,2020-01-14,25444.99,-1823.77,16.47,-7.17,60,14,2020-01-14,01,2020-01,249,New,Gold,14
1077,Procter & Gamble,Consumer Products,Strategic,Japan,APJ,JAPN,2020-03-25,12547.69,2157.39,16.14,17.19,30,11,2020-03-25,03,2020-03,178,Strategic (VIP),Silver,11
1078,Prudential Financial,Finance,Strategic,United Kingdom,EMEA,UKIR,2020-01-21,20946.21,2728.75,16.00,13.03,73,13,2020-01-21,01,2020-01,242,Strategic (VIP),Gold,13
1079,Safeway,Retail,Strategic,Germany,EMEA,EU-WEST,2020-05-30,6633.13,472.45,15.64,7.12,20,12,2020-05-30,05,2020-05,112,Strategic (VIP),Silver,12
1080,Allianz,Finance,SMB,United States,AMER,NAMER,2020-03-17,42904.16,5531.88,14.24,12.89,102,13,2020-03-17,03,2020-03,186,High Value (Core),Platinum,13
1081,Sprint Nextel,Communications,SMB,Japan,APJ,JAPN,2020-03-24,18852.07,-462.65,17.02,-2.45,51,13,2020-03-24,03,2020-03,179,New,Gold,13
1082,State Farm Insurance Cos.,Finance,Strategic,United States,AMER,NAMER,2020-07-08,20154.06,2612.83,14.06,12.96,49,14,2020-07-08,07,2020-07,73,Strategic (VIP),Gold,14
1083,Glencore,Misc,Enterprise,Japan,APJ,JAPN,2020-03-28,15649.14,4470.15,14.28,28.56,26,12,2020-03-28,03,2020-03,175,Strategic (VIP),Silver,12
1084,Sysco,Consumer Products,SMB,United Kingdom,EMEA,UKIR,2020-02-22,18886.15,3383.36,11.66,17.91,40,14,2020-02-22,02,2020-02,210,New,Gold,14
1085,Target,Retail,SMB,Australia,APJ,ANZ,2020-07-25,15736.12,1207.31,18.36,7.67,20,11,2020-07-25,07,2020-07,56,New,Silver,11
1086,Huawei,Tech,Strategic,Japan,APJ,JAPN,2020-01-24,12904.53,1984.09,19.32,15.38,31,11,2020-01-24,01,2020-01,239,Strategic (VIP),Silver,11
1087,Toyota Motor,Manufacturing,SMB,Italy,EMEA,EU,2020-06-30,25352.51,3394.64,16.08,13.39,56,12,2020-06-30,06,2020-06,81,New,Gold,12
1088,Tyson Foods,Consumer Products,Strategic,Portugal,EMEA,EU-WEST,2020-03-21,40326.34,1690.57,18.06,4.19,87,13,2020-03-21,03,2020-03,182,Strategic (VIP),Platinum,13
1089,Nestle,Consumer Products,Strategic,Luxembourg,EMEA,EU-WEST,2020-01-08,23194.64,2110.44,18.94,9.10,54,14,2020-01-08,01,2020-01,255,Strategic (VIP),Gold,14
1090,United Parcel Service,Transportation,SMB,South Africa,EMEA,MEA,2020-02-21,23733.35,5275.63,12.67,22.23,37,14,2020-02-21,02,2020-02,211,New,Gold,14
1091,Panasonic,Tech,Strategic,United States,AMER,NAMER,2020-02-03,15882.99,993.86,12.40,6.26,40,11,2020-02-03,02,2020-02,229,Strategic (VIP),Silver,11
1092,UnitedHealth Group,Healthcare,SMB,Canada,AMER,NAMER,2020-02-15,35201.62,4876.57,14.58,13.85,57,14,2020-02-15,02,2020-02,217,High Value (Core),Platinum,14
1093,Valero Energy,Energy,SMB,United States,AMER,NAMER,2020-03-18,41220.41,10308.62,14.97,25.01,58,12,2020-03-18,03,2020-03,185,High Value (Core),Platinum,12
1094,Verizon Communications,Communications,SMB,United States,AMER,NAMER,2020-02-02,17567.26,2044.60,15.90,11.64,48,11,2020-02-02,02,2020-02,230,New,Gold,11
1095,Walgreens,Retail,Enterprise,Belgium,EMEA,EU-WEST,2020-02-12,14420.61,-740.67,15.00,-5.14,33,12,2020-02-12,02,2020-02,220,New,Silver,12
1096,Walmart,Retail,SMB,Russia,EMEA,EU-EAST,2020-03-04,21508.17,3111.12,17.95,14.46,46,13,2020-03-04,03,2020-03,199,New,Gold,13
1097,Walt Disney,Communications,Enterprise,United Kingdom,EMEA,UKIR,2020-04-02,29483.00,5786.82,16.69,19.63,53,13,2020-04-02,04,2020-04,170,Strategic (VIP),Gold,13
1098,Nissan Motor,Transportation,Strategic,Japan,APJ,JAPN,2020-01-24,22650.82,-1585.18,17.88,-7.00,40,13,2020-01-24,01,2020-01,239,New,Gold,13
1099,Wells Fargo,Finance,SMB,United States,AMER,NAMER,2020-01-12,23180.54,2341.14,17.33,10.10,47,13,2020-01-12,01,2020-01,251,New,Gold,13
1100,Trafigura Group,Finance,SMB,Luxembourg,EMEA,EU-WEST,2020-03-02,33447.12,8867.82,7.37,26.51,52,14,2020-03-02,03,2020-03,201,High Value (Core),Platinum,14
1101,Banco Santander,Finance,Enterprise,Japan,APJ,JAPN,2020-03-11,11065.05,604.47,17.40,5.46,36,13,2020-03-11,03,2020-03,192,Strategic (VIP),Silver,13
